# Date/Time Start;23/06/2023 17:20:36
# Sample Period (ms);7.8125 ms
Note;
TimeElapsed (ms),Signal Voltage (mV) 
70.3125,-39
78.125,-51
85.9375,-59
93.75,-58
101.5625,-83
109.375,-85
117.1875,-82
125,-87
132.8125,-67
140.625,-63
148.4375,-49
156.25,-47
164.0625,-75
171.875,-73
179.6875,-68
187.5,-55
195.3125,-51
203.125,-75
210.9375,-68
218.75,-63
226.5625,-58
234.375,-49
242.1875,-66
250,-61
257.8125,-56
265.625,-57
273.4375,-42
281.25,-51
289.0625,-42
296.875,-36
304.6875,-52
312.5,-47
320.3125,-58
328.125,-49
335.9375,-26
343.75,-20
351.5625,0
359.375,-5
367.1875,-10
375,0
382.8125,-9
390.625,-3
398.4375,-14
406.25,-28
414.0625,-24
421.875,-42
429.6875,-32
437.5,-24
445.3125,-35
453.125,-36
460.9375,-51
468.75,-39
476.5625,-34
484.375,-56
492.1875,-30
500,69
507.8125,263
515.625,394
523.4375,287
531.25,41
539.0625,-174
546.875,-206
554.6875,-105
562.5,-48
570.3125,-33
578.125,-45
585.9375,-43
593.75,-18
601.5625,-23
609.375,-16
617.1875,-17
625,-19
632.8125,14
640.625,19
648.4375,16
656.25,4
664.0625,-10
671.875,15
679.6875,25
687.5,44
695.3125,63
703.125,53
710.9375,65
718.75,61
726.5625,61
734.375,64
742.1875,30
750,18
757.8125,9
765.625,9
773.4375,25
781.25,7
789.0625,0
796.875,-14
804.6875,-32
812.5,-22
820.3125,-40
828.125,-53
835.9375,-63
843.75,-79
851.5625,-62
859.375,-61
867.1875,-56
875,-40
882.8125,-41
890.625,-25
898.4375,-37
906.25,-54
914.0625,-51
921.875,-60
929.6875,-41
937.5,-38
945.3125,-46
953.125,-28
960.9375,-29
968.75,-22
976.5625,-31
984.375,-54
992.1875,-45
1000,-53
1007.8125,-51
1015.625,-45
1023.4375,-47
1031.25,-20
1039.0625,-22
1046.875,-31
1054.6875,-19
1062.5,-9
1070.3125,20
1078.125,9
1085.9375,-11
1093.75,2
1101.5625,8
1109.375,16
1117.1875,-11
1125,-35
1132.8125,-9
1140.625,-10
1148.4375,-23
1156.25,-44
1164.0625,-61
1171.875,-40
1179.6875,-37
1187.5,-32
1195.3125,-26
1203.125,-48
1210.9375,-36
1218.75,47
1226.5625,242
1234.375,402
1242.1875,311
1250,55
1257.8125,-171
1265.625,-208
1273.4375,-97
1281.25,-35
1289.0625,-27
1296.875,-37
1304.6875,-38
1312.5,-12
1320.3125,-14
1328.125,-6
1335.9375,-1
1343.75,-10
1351.5625,3
1359.375,-8
1367.1875,-9
1375,11
1382.8125,16
1390.625,40
1398.4375,42
1406.25,47
1414.0625,66
1421.875,56
1429.6875,61
1437.5,55
1445.3125,52
1453.125,72
1460.9375,59
1468.75,57
1476.5625,46
1484.375,22
1492.1875,24
1500,4
1507.8125,-5
1515.625,-15
1523.4375,-41
1531.25,-42
1539.0625,-59
1546.875,-58
1554.6875,-41
1562.5,-44
1570.3125,-35
1578.125,-53
1585.9375,-65
1593.75,-48
1601.5625,-51
1609.375,-38
1617.1875,-34
1625,-33
1632.8125,-15
1640.625,-30
1648.4375,-36
1656.25,-42
1664.0625,-54
1671.875,-37
1679.6875,-37
1687.5,-28
1695.3125,-16
1703.125,-26
1710.9375,-18
1718.75,-27
1726.5625,-27
1734.375,-16
1742.1875,-21
1750,-2
1757.8125,-4
1765.625,-14
1773.4375,-4
1781.25,-7
1789.0625,21
1796.875,38
1804.6875,20
1812.5,16
1820.3125,-1
1828.125,-1
1835.9375,0
1843.75,-19
1851.5625,-16
1859.375,-26
1867.1875,-24
1875,-25
1882.8125,-43
1890.625,-23
1898.4375,-15
